,cuisine,PC1,PC2,kmeans
0,American,-0.13813379180514535,0.08837138169177004,1
1,Chinese,0.5062403969451571,-0.22289782379156908,2
2,Cuban,0.13072903238738454,0.4569800054026094,4
3,English,-0.2363630225950035,-0.24731678860033265,0
4,French,-0.26047575020810115,-0.25438341180323437,0
5,German,-0.3068010648514524,-0.14674546914191483,0
6,Greek,-0.06959408134109094,0.08955687672315182,1
7,Hawaiian,0.06530188769794729,0.2564511316220748,1
8,Hungarian,-0.24705503493799502,-0.19418117235335805,0
9,Indian,0.33063663522553144,-0.011681239506743213,2
10,Irish,-0.2717609555228133,-0.05235796505360466,0
11,Italian,-0.12006481283119526,0.21191346429733318,1
12,Japanese,0.38347192616429326,-0.25370880234408966,2
13,Mexican,0.040102139069833065,0.6255300792454893,4
14,Moroccan,0.10325662595956013,-0.06278817644364151,3
15,Spanish,-0.05919632221679135,-0.050664958893751735,3
16,Swedish,-0.3105981214805539,-0.04497586952181698,0
17,Thai,0.46030431434043556,-0.1871012615283742,2
